"target_quarter","days_to_release","asof","actual","labour","expenditure","ar1","hist_mean"
"2016Q1",150,"2016-01-03",0.91647588405932,0.633802098336189,0.80566910160974,0.867764020417809,0.686428439662905
"2016Q1",120,"2016-02-02",0.91647588405932,0.577445462885916,0.742651941881644,0.867764020417809,0.686428439662905
"2016Q1",90,"2016-03-03",0.91647588405932,0.961553745153034,0.815229617062584,0.882197404921058,0.680880166322423
"2016Q1",60,"2016-04-02",0.91647588405932,1.06437710349134,0.815229617062584,0.882197404921058,0.680880166322423
"2016Q1",45,"2016-04-17",0.91647588405932,0.894359295960314,0.815229617062584,0.882197404921058,0.680880166322423
"2016Q1",30,"2016-05-02",0.91647588405932,0.894359295960314,0.815229617062584,0.882197404921058,0.680880166322423
"2016Q1",20,"2016-05-12",0.91647588405932,0.894359295960314,0.815229617062584,0.882197404921058,0.680880166322423
"2016Q1",10,"2016-05-22",0.91647588405932,0.894359295960314,0.815229617062584,0.882197404921058,0.680880166322423
"2016Q1",5,"2016-05-27",0.91647588405932,0.894359295960314,0.713248758816098,0.882197404921058,0.680880166322423
"2016Q1",1,"2016-05-31",0.91647588405932,0.894359295960314,0.114930230833796,0.882197404921058,0.680880166322423
"2016Q2",150,"2016-04-10",0.658660331932026,0.662599729789372,0.667811012790195,0.865175790777597,0.680880166322423
"2016Q2",120,"2016-05-10",0.658660331932026,0.475959242121184,0.675852669864708,0.865175790777597,0.680880166322423
"2016Q2",90,"2016-06-09",0.658660331932026,-1.144739134922,1.02962090070994,0.863179041297266,0.702117606207467
"2016Q2",60,"2016-07-09",0.658660331932026,-0.361763043247604,1.02962090070994,0.863179041297266,0.702117606207467
"2016Q2",45,"2016-07-24",0.658660331932026,-0.207817352751855,1.02962090070994,0.863179041297266,0.702117606207467
"2016Q2",30,"2016-08-08",0.658660331932026,-0.207817352751855,1.02962090070994,0.863179041297266,0.702117606207467
"2016Q2",20,"2016-08-18",0.658660331932026,-0.207817352751855,1.02962090070994,0.863179041297266,0.702117606207467
"2016Q2",10,"2016-08-28",0.658660331932026,-0.207817352751855,0.914643811244832,0.863179041297266,0.702117606207467
"2016Q2",5,"2016-09-02",0.658660331932026,-0.207817352751855,0.387295433128333,0.863179041297266,0.702117606207467
"2016Q2",1,"2016-09-06",0.658660331932026,-0.207817352751855,0.387295433128333,0.863179041297266,0.702117606207467
"2016Q3",150,"2016-07-10",-0.00938327122079752,1.13904022586116,0.663533866934494,0.866650714140227,0.702117606207467
"2016Q3",120,"2016-08-09",-0.00938327122079752,1.27029072846477,0.642830239000491,0.866650714140227,0.702117606207467
"2016Q3",90,"2016-09-08",-0.00938327122079752,1.22095925159262,0.431449192502365,0.879004144006707,0.712591920266758
"2016Q3",60,"2016-10-08",-0.00938327122079752,1.26476849478181,0.431449192502365,0.879004144006707,0.712591920266758
"2016Q3",45,"2016-10-23",-0.00938327122079752,1.16329138056172,0.431449192502365,0.879004144006707,0.712591920266758
"2016Q3",30,"2016-11-07",-0.00938327122079752,1.16329138056172,0.431449192502365,0.879004144006707,0.712591920266758
"2016Q3",20,"2016-11-17",-0.00938327122079752,1.16329138056172,0.431449192502365,0.879004144006707,0.712591920266758
"2016Q3",10,"2016-11-27",-0.00938327122079752,1.16329138056172,0.13104563550915,0.879004144006707,0.712591920266758
"2016Q3",5,"2016-12-02",-0.00938327122079752,1.16329138056172,0.132678670551803,0.879004144006707,0.712591920266758
"2016Q3",1,"2016-12-06",-0.00938327122079752,1.16329138056172,0.132678670551803,0.879004144006707,0.712591920266758
"2016Q4",150,"2016-10-02",1.1659365914636,0.703484382292816,0.81465628835871,0.864644533633298,0.712591920266758
"2016Q4",120,"2016-11-01",1.1659365914636,0.606297981517698,0.839402474230464,0.864644533633298,0.712591920266758
"2016Q4",90,"2016-12-01",1.1659365914636,0.631706623527004,0.577035308458203,0.864644533633298,0.712591920266758
"2016Q4",60,"2016-12-31",1.1659365914636,0.681540910433451,0.544600461812085,0.917651965344948,0.674062552690165
"2016Q4",45,"2017-01-15",1.1659365914636,0.875024097300834,0.534315303952126,0.917651965344948,0.674062552690165
"2016Q4",30,"2017-01-30",1.1659365914636,0.875024097300834,0.534315303952126,0.917651965344948,0.674062552690165
"2016Q4",20,"2017-02-09",1.1659365914636,0.875024097300834,0.551364513169569,0.917651965344948,0.674062552690165
"2016Q4",10,"2017-02-19",1.1659365914636,0.875024097300834,0.551364513169569,0.917651965344948,0.674062552690165
"2016Q4",5,"2017-02-24",1.1659365914636,0.875024097300834,0.551364513169569,0.917651965344948,0.674062552690165
"2016Q4",1,"2017-02-28",1.1659365914636,0.875024097300834,0.649042696835091,0.917651965344948,0.674062552690165
"2017Q1",150,"2017-01-08",0.311883605458485,0.663101588834145,0.492804954461428,0.858089945719004,0.674062552690165
"2017Q1",120,"2017-02-07",0.311883605458485,0.864990010519615,0.521145341753702,0.858089945719004,0.674062552690165
"2017Q1",90,"2017-03-09",0.311883605458485,2.50854443182573,0.488267705324101,0.843238696409714,0.671798433956931
"2017Q1",60,"2017-04-08",0.311883605458485,1.33843903432285,0.468927576856651,0.843238696409714,0.671798433956931
"2017Q1",45,"2017-04-23",0.311883605458485,1.27465364873163,0.468927576856651,0.843238696409714,0.671798433956931
"2017Q1",30,"2017-05-08",0.311883605458485,1.27465364873163,0.455890158661676,0.843238696409714,0.671798433956931
"2017Q1",20,"2017-05-18",0.311883605458485,1.27465364873163,0.455890158661676,0.843238696409714,0.671798433956931
"2017Q1",10,"2017-05-28",0.311883605458485,1.27465364873163,0.421755956042041,0.843238696409714,0.671798433956931
"2017Q1",5,"2017-06-02",0.311883605458485,1.27465364873163,-0.908214400035055,0.843238696409714,0.671798433956931
"2017Q1",1,"2017-06-06",0.311883605458485,1.27465364873163,-0.908214400035055,0.843238696409714,0.671798433956931
"2017Q2",150,"2017-04-09",0.598448222015557,0.0953790884722572,0.612468254296779,0.864305396853423,0.671798433956931
"2017Q2",120,"2017-05-09",0.598448222015557,0.00904935528204143,0.569830476253311,0.864305396853423,0.671798433956931
"2017Q2",90,"2017-06-08",0.598448222015557,-0.364333891189169,0.390419595537367,0.896763434469869,0.64550825336202
"2017Q2",60,"2017-07-08",0.598448222015557,0.842834160508291,0.40751317550505,0.896763434469869,0.64550825336202
"2017Q2",45,"2017-07-23",0.598448222015557,1.13941306303948,0.40751317550505,0.896763434469869,0.64550825336202
"2017Q2",30,"2017-08-07",0.598448222015557,1.13941306303948,0.40652041147306,0.896763434469869,0.64550825336202
"2017Q2",20,"2017-08-17",0.598448222015557,1.13941306303948,0.40652041147306,0.896763434469869,0.64550825336202
"2017Q2",10,"2017-08-27",0.598448222015557,1.13941306303948,0.715679144655741,0.896763434469869,0.64550825336202
"2017Q2",5,"2017-09-01",0.598448222015557,1.13941306303948,0.715140414023701,0.896763434469869,0.64550825336202
"2017Q2",1,"2017-09-05",0.598448222015557,1.13941306303948,0.715140414023701,0.896763434469869,0.64550825336202
"2017Q3",150,"2017-07-09",0.947658516872796,1.1443833947047,0.709969544649415,0.858237261449309,0.64550825336202
"2017Q3",120,"2017-08-08",0.947658516872796,1.49631868788217,0.726120308418648,0.858237261449309,0.64550825336202
"2017Q3",90,"2017-09-07",0.947658516872796,0.819156713912642,0.78636967971096,0.876523509536629,0.644817031911944
"2017Q3",60,"2017-10-07",0.947658516872796,0.716117604148739,0.757890078130114,0.876523509536629,0.644817031911944
