"days_to_release","w_labour"
1,0.527761313793709
5,0.550567878691534
10,0.560289652986517
20,0.528190297677744
30,0.614225685711171
45,0.695520318148491
60,0.670965103905519
90,0.527906945784874
120,0.38518799824339
150,0.372653691366165
