"key","n","latest","hash"
"natacc",59355,"2026-03-01","59355-19202162.2000002-2026-03-01"
"hours",8610,"2026-04-01","8610-4258098.42938397-2026-04-01"
"mhsi",72053,"2026-04-01","72053-23895435.9999996-2026-04-01"
"trade",6758,"2026-04-01","6758-3042729-2026-04-01"
"approvals",3598,"2026-04-01","3598-1787303-2026-04-01"
"construction",1615,"2026-03-01","1615-829510-2026-03-01"
"capex",8115,"2026-03-01","8115-3148807-2026-03-01"
"busind",2041,"2026-03-01","2041-719186.9-2026-03-01"
"bop",4272,"2026-03-01","4272-1060299.2-2026-03-01"
"cpi",5916,"2026-04-01","5916-80835.07721-2026-04-01"
"vacancies",183,"2026-02-15","183-25500.7-2026-02-15"
"rba_credit",11765,"2026-04-30","11765-3896045.33380299-2026-04-30"
"cpi_old",8087,"2025-09-01","8087-1314346.5-2025-09-01"
"lfs",1158,"2026-04-01","1158-297913.8890628-2026-04-01"
"gfs",13,"2026-01-01","13-5132-2026-01-01"
