"key","n","latest","hash"
"natacc",73425,"2026-03-01","73425-22086551.2-2026-03-01"
"hours",8610,"2026-04-01","8610-4258098.42938399-2026-04-01"
"lfs",1158,"2026-04-01","1158-297913.8890628-2026-04-01"
"mhsi",4980,"2026-04-01","4980-1664140.2-2026-04-01"
"trade",7238,"2026-04-01","7238-3042729-2026-04-01"
"approvals",7196,"2026-04-01","7196-3505256-2026-04-01"
"construction",3726,"2026-03-01","3726-1654278-2026-03-01"
"capex",8835,"2026-03-01","8835-3148807-2026-03-01"
"busind",2282,"2026-03-01","2282-1110986-2026-03-01"
"bop",7743,"2026-03-01","7743-2025973.7-2026-03-01"
"cpi",675,"2026-04-01","675-75478.77-2026-04-01"
"cpi_old",6887,"2025-09-01","6887-810276.9-2025-09-01"
"vacancies",3572,"2026-02-15","3572-79724.7-2026-02-15"
"gfs",13,"2026-01-01","13-5132-2026-01-01"
"rba_credit",11765,"2026-04-30","11765-3896045.333803-2026-04-30"
